zotero_key,folder_path,pdf_filename,title,file_size_mb,pages,words_per_page,classification
"ZUVZNVA3","/home/nathan/Desktop/zotero-storage-copy/ZUVZNVA3","Fleischer_1986_Bureaucrat and intellectual in the Ottoman Empire.pdf","Fleischer_1986_Bureaucrat and intellectual in the Ottoman Empire.pdf",0.3,4,0.0,IMAGE_ONLY
"MCQRDT29","/home/nathan/Desktop/zotero-storage-copy/MCQRDT29","Muhimme 141 (1148).pdf","Muhimme 141 (1148).pdf",30.2,464,0.0,IMAGE_ONLY
"C6QQX25V","/home/nathan/Desktop/zotero-storage-copy/C6QQX25V","henri de mesmes--memoires.pdf","henri de mesmes--memoires.pdf",6.4,248,0.0,IMAGE_ONLY
"JIC38VUU","/home/nathan/Desktop/zotero-storage-copy/JIC38VUU","Johnson - 2006 - Idolatrous Cultures and the Practice of Religion.pdf","Full Text PDF",1.2,25,12.9,MINIMAL_TEXT
"PVCTI8ZP","/home/nathan/Desktop/zotero-storage-copy/PVCTI8ZP","Memoires de Mess martin et guillaume de bellay vols. 1 et 2.pdf","Memoires de Mess martin et guillaume de bellay vols. 1 et 2.pdf",8.5,459,0.0,IMAGE_ONLY
"8IF4KLRD","/home/nathan/Desktop/zotero-storage-copy/8IF4KLRD","Merriman - 2010 - Industrial Revolution [Consequences excerpts].pdf","Merriman - 2010 - Industrial Revolution [Consequences excerpts].pdf",2.4,14,0.0,IMAGE_ONLY
"R2GIIFIV","/home/nathan/Desktop/zotero-storage-copy/R2GIIFIV","FR 16142.pdf","FR 16142.pdf",108.4,569,0.0,IMAGE_ONLY
"JWZ7SGZE","/home/nathan/Desktop/zotero-storage-copy/JWZ7SGZE","Isom-Verhaaren--Ottoman French Interactions 1480-1580.pdf","Isom-Verhaaren--Ottoman French Interactions 1480-1580.pdf",0.8,24,13.9,MINIMAL_TEXT
"8F7FTAYQ","/home/nathan/Desktop/zotero-storage-copy/8F7FTAYQ","AIZAWA_1995_The Gap Between Science and Policy in The Bell Curve.pdf","AIZAWA_1995_The Gap Between Science and Policy in The Bell Curve.pdf",1.8,14,10.6,MINIMAL_TEXT
"8EN5CRZ4","/home/nathan/Desktop/zotero-storage-copy/8EN5CRZ4","L''Histoire universelle du sieur d''Aubigné....pdf","L''Histoire universelle du sieur d''Aubigné....pdf",320.1,1042,0.0,IMAGE_ONLY
"H57Q8F5M","/home/nathan/Desktop/zotero-storage-copy/H57Q8F5M","1501_Dépêches originales de divers ambassadeurs et agents français à Constantinople.pdf","1501_Dépêches originales de divers ambassadeurs et agents français à Constantinople.pdf",89.5,449,0.0,IMAGE_ONLY
"XSNGVWXD","/home/nathan/Desktop/zotero-storage-copy/XSNGVWXD","Benedict - 2002 - The Wars of Religion, 1562-1598.pdf","Unknown Title",6.6,21,0.0,IMAGE_ONLY
"4G888FDC","/home/nathan/Desktop/zotero-storage-copy/4G888FDC","FR 7161.pdf","FR 7161.pdf",78.7,469,0.0,IMAGE_ONLY
"S4YPN4RV","/home/nathan/Desktop/zotero-storage-copy/S4YPN4RV","Négociations_de_la_France_dans_Levant I.pdf","Négociations_de_la_France_dans_Levant I.pdf",30.0,806,0.0,IMAGE_ONLY
"3HBMR8NQ","/home/nathan/Desktop/zotero-storage-copy/3HBMR8NQ","missions diplomatique du Claude du Bourg.pdf","missions diplomatique du Claude du Bourg.pdf",2.1,50,0.0,IMAGE_ONLY
"VRNCPXU7","/home/nathan/Desktop/zotero-storage-copy/VRNCPXU7","Skilliter--Catherine de Medicis Turkish Ladies in Waiting.pdf","Skilliter--Catherine de Medicis Turkish Ladies in Waiting.pdf",22.4,18,0.0,IMAGE_ONLY
